Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
DC Brau Pils,2a37fc9d4800d991427805654631c096,17.75,71.00,0.0004,4.0000,16,0.0008,,13,0.0769,0.0769,2025-01-27,2025-02-23,28.20,141.00,0.0008,4.8000,24.0000,0.0011,,17.0000,0.2941,0.0588,-10.45,-0.3706,-70.00,-0.4965,-0.0004,-0.5010,-0.8000,-0.1667,-8.0000,,-0.0003,-0.2856,,,-4.0000,,-0.2172,-0.7385,0.0181,0.3077
That Fire Hot Sauce (Bottle),7ae3bbc205a3328f25e2d5981234643d,27.00,54.00,0.0003,3.0000,6,0.0003,,6,0.3333,0.0000,2025-01-27,2025-02-23,43.02,215.10,0.0012,4.8000,24.0000,0.0011,,18.0000,0.2222,0.0000,-16.02,-0.3724,-161.10,-0.7490,-0.0009,-0.7512,-1.8000,-0.3750,-18.0000,,-0.0008,-0.7318,,,-12.0000,,0.1111,0.5000,0.0000,0.0000
Aramark Marriott Chicken Tikka Masala,8d5b32e1a1ac90d72c43a4bce72bae6d,1251.36,1251.36,0.0069,88.0000,88,0.0043,,0,0.0000,0.0000,2025-01-27,2025-02-23,497.56,497.56,0.0028,35.0000,35.0000,0.0016,,0.0000,0.0000,0.0000,753.80,1.5150,753.80,1.5150,0.0041,1.4921,53.0000,1.5143,53.0000,,0.0027,1.6952,,,0.0000,,0.0000,0.0000,0.0000,0.0000
LaCroix - Lime,faf62b12fed0aaa5f2949360cbaacec8,45.60,45.60,0.0002,16.0000,16,0.0008,,16,0.1875,0.0000,2025-01-27,2025-02-23,20.90,62.70,0.0003,7.6667,23.0000,0.0010,,22.0000,0.2273,0.0000,24.70,1.1818,-17.10,,-0.0001,-0.2793,8.3333,1.0870,-7.0000,,-0.0003,-0.2543,,,-6.0000,,-0.0398,-0.1750,0.0000,0.0000
Maine Root Fountain Soda,53b139407870a7205e24a64b2ccf9eb2,232.29,929.17,0.0051,75.0000,300,0.0147,23.58,240,0.1792,0.0792,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side of Grain,343ce46c5489f43ec64a165e5323783f,15.60,78.00,0.0004,5.4000,27,0.0013,,22,0.2273,0.0909,2025-01-27,2025-02-23,18.54,92.70,0.0005,6.2000,31.0000,0.0014,,24.0000,0.2083,0.1250,-2.94,-0.1586,-14.70,,-0.0001,-0.1662,-0.8000,-0.1290,-4.0000,,-0.0001,-0.0664,,,-2.0000,,0.0189,0.0909,-0.0341,-0.2727
Swirl Soft Serve,5c81ddf65ea7d6a47fd8bbbc27c484aa,22.00,110.00,0.0006,5.2000,26,0.0013,,20,0.3500,0.1000,2025-01-27,2025-02-23,69.50,347.50,0.0019,17.0000,85.0000,0.0039,,63.0000,0.3016,0.1905,-47.50,-0.6835,-237.50,-0.6835,-0.0013,-0.6863,-11.8000,-0.6941,-59.0000,,-0.0026,-0.6722,,,-43.0000,,0.0484,0.1605,-0.0905,-0.4750
Eurest Premium Bowl,105e6e46e27685dcafd676eb7f082ec9,394.45,788.90,0.0043,24.5000,49,0.0024,,0,0.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,d82b81ee46917a4a06cdfb7736d70417,689.29,3446.43,0.0189,285.8000,1429,0.0699,22.27,1085,0.2304,0.1171,2025-01-27,2025-02-23,635.48,3177.40,0.0176,254.4000,1272.0000,0.0581,21.19,1002.0000,0.2804,0.1557,53.81,0.0847,269.03,0.0847,0.0013,0.0748,31.4000,0.1234,157.0000,0.1234,0.0119,0.2044,1.07,0.0507,83.0000,0.0828,-0.0500,-0.1784,-0.0386,-0.2482
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,64.90,324.50,0.0018,24.2000,121,0.0059,23.37,103,0.2913,0.1068,2025-01-27,2025-02-23,79.69,398.43,0.0022,28.0000,140.0000,0.0064,21.84,130.0000,0.2846,0.1077,-14.79,-0.1856,-73.93,-0.1856,-0.0004,-0.1930,-3.8000,-0.1357,-19.0000,-0.1357,-0.0005,-0.0734,1.53,0.0701,-27.0000,-0.2077,0.0066,0.0234,-0.0009,-0.0083
Offsite Pop-Up Mango Lassi,8c04e63c7ef00004642cfeb2328f26e2,354.00,1062.00,0.0058,59.0000,177,0.0087,,0,0.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homemade Juice,d6f19fa56665e191989db7a893806ea1,396.11,1980.54,0.0109,129.2000,646,0.0316,20.51,522,0.2701,0.1590,2025-01-27,2025-02-23,627.10,3135.52,0.0173,221.0000,1105.0000,0.0504,20.55,869.0000,0.2842,0.1807,-231.00,-0.3684,-1154.98,-0.3684,-0.0065,-0.3741,-91.8000,-0.4154,-459.0000,-0.4154,-0.0188,-0.3732,-0.04,-0.0018,-347.0000,-0.3993,-0.0141,-0.0497,-0.0217,-0.1199
Open Water Still Water,924a62abf03e0973f0882c9bc80cf78d,73.31,366.55,0.0020,27.4000,137,0.0067,20.78,109,0.2385,0.1193,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids BYO,66c163b662cda637cb2478e2112386c7,425.66,2128.30,0.0117,60.8000,304,0.0149,22.13,228,0.2675,0.2149,2025-01-27,2025-02-23,429.45,2147.27,0.0119,61.6000,308.0000,0.0141,23.61,222.0000,0.3604,0.2342,-3.79,-0.0088,-18.97,-0.0088,-0.0002,-0.0179,-0.8000,-0.0130,-4.0000,-0.0130,0.0008,0.0582,-1.47,-0.0624,6.0000,0.0270,-0.0928,-0.2576,-0.0193,-0.0825
